bad,worse,worse2,worse3,worse4,worse5
41048.0,41048.0,41048.0,41048.0,41048.0,41048.0
282173.0,241572.0,241572.0,240586.0,238368.0,241572.0
85144.0,85144.0,85144.0,85144.0,85144.0,85144.0
435672.0,433056.0,424721.0,427740.0,424721.0,424721.0
288625.0,230969.0,230969.0,231060.0,237915.0,230969.0
118605.0,118605.0,115197.0,115197.0,115197.0,115197.0
133558.0,133558.0,130069.0,130069.0,130905.0,130069.0
167851.0,159987.0,151475.0,151475.0,142788.0,151475.0
98322.0,98322.0,98322.0,98322.0,98322.0,95277.0
43929.0,43929.0,41990.0,43929.0,41990.0,43929.0
272183.0,210819.0,199245.0,199019.0,198892.0,199245.0
393874.0,376944.0,376944.0,376944.0,376944.0,376944.0
284557.0,263548.0,245175.0,242723.0,243104.0,245175.0
419761.0,389782.0,349118.0,349118.0,349118.0,349118.0
